Date,Open,High,Low,Close,Volume
2024-06-02,1.2843,1.2866,1.2154,1.2166,2286854.0
2024-06-03,1.217,1.2717,1.2081,1.2314,1750028.0
2024-06-04,1.2317,1.3936,1.224,1.3482,6487325.0
2024-06-05,1.3476,1.4216,1.3333,1.3627,8940665.0
2024-06-06,1.363,1.3821,1.3089,1.3261,3004284.0
2024-06-07,1.3253,1.3576,1.1196,1.2144,5317811.0
2024-06-08,1.214,1.2295,1.1601,1.1715,1878980.0
2024-06-09,1.1716,1.1911,1.1607,1.1686,1640407.0
2024-06-10,1.1689,1.177,1.1192,1.1306,2077347.0
2024-06-11,1.1306,1.1306,1.09,1.1161,4064803.0
2024-06-12,1.1154,1.1839,1.0935,1.1444,2527028.0
2024-06-13,1.1443,1.1493,1.0901,1.1025,1786722.0
2024-06-14,1.1033,1.1285,1.079,1.1071,2467354.0
2024-06-15,1.1063,1.1236,1.094,1.1116,895377.0
2024-06-16,1.1116,1.126,1.1018,1.1157,561005.0
2024-06-17,1.1165,1.1254,1.036,1.0646,3254901.0
2024-06-18,1.0644,1.0681,0.9,0.9978,7642709.0
2024-06-19,0.9979,1.036,0.9794,1.0051,2412575.0
2024-06-20,1.0042,1.0655,0.9972,1.0228,1910815.0
2024-06-21,1.0243,1.0452,0.98,1.0156,2102144.0
2024-06-22,1.0161,1.0162,0.9864,0.9907,1137330.0
2024-06-23,0.9911,1.0279,0.9686,0.9722,1143404.0
2024-06-24,0.9729,1.0166,0.9517,1.0148,2397330.0
2024-06-25,1.0146,1.0366,0.9991,1.0125,1539689.0
2024-06-26,1.0123,1.0232,0.99,1.0148,1092435.0
2024-06-27,1.0143,1.0465,0.9985,1.0345,3592481.0
2024-06-28,1.0346,1.0616,1.025,1.043,2492060.0
2024-06-29,1.0411,1.0774,1.0353,1.0397,1790063.0
2024-06-30,1.0401,1.09,1.0334,1.0871,1356532.0
2024-07-01,1.0881,1.096,1.0542,1.059,1021227.0
2024-07-02,1.0588,1.1236,1.0483,1.1004,2881299.0
2024-07-03,1.1002,1.1074,1.0545,1.0717,2688095.0
2024-07-04,1.0719,1.0868,0.9161,0.9314,5702725.0
2024-07-05,0.9317,1.0022,0.8281,0.9836,7873236.0
2024-07-06,0.9838,1.0532,0.9593,1.0346,2263400.0
2024-07-07,1.0347,1.0609,0.9679,0.97,2282246.0
2024-07-08,0.97,1.0205,0.92,1.0115,2975542.0
2024-07-09,1.0105,1.0299,0.9932,1.0209,1396208.0
2024-07-10,1.0207,1.0302,0.9954,1.0192,1225974.0
2024-07-11,1.0189,1.05,1.0023,1.0033,1587319.0
2024-07-12,1.0034,1.0263,0.9878,1.0259,1478094.0
2024-07-13,1.026,1.0374,0.9941,1.0133,1530547.0
2024-07-14,1.0134,1.0374,1.0001,1.0318,1514965.0
2024-07-15,1.032,1.07,1.0299,1.0688,1796391.0
2024-07-16,1.0698,1.0798,1.0151,1.0761,2129977.0
2024-07-17,1.076,1.1077,1.0561,1.0598,1822979.0
2024-07-18,1.0613,1.0889,1.0085,1.037,1576315.0
2024-07-19,1.0374,1.0636,1.009,1.0598,1756313.0
2024-07-20,1.0599,1.084,1.0486,1.075,1336853.0
2024-07-21,1.0757,1.0801,1.0134,1.0672,1762537.0
2024-07-22,1.0673,1.0734,1.0207,1.0242,1174065.0
2024-07-23,1.0246,1.0424,0.9811,1.0037,1933744.0
2024-07-24,1.0036,1.0116,0.9729,0.9791,880358.0
2024-07-25,0.9793,0.9947,0.9328,0.9906,2224840.0
2024-07-26,0.9906,1.029,0.9901,1.0216,1098932.0
2024-07-27,1.0215,1.0386,1.0045,1.0194,639768.0
2024-07-28,1.0192,1.0275,0.9926,1.0027,668891.0
2024-07-29,1.003,1.0259,0.9888,1.0088,1150026.0
2024-07-30,1.0073,1.0211,0.9697,0.9887,2720458.0
2024-07-31,0.9884,1.0033,0.968,0.9711,1007103.0
2024-08-01,0.9705,1.0386,0.949,1.0327,3935678.0
2024-08-02,1.0327,1.0413,0.9143,0.9344,3955170.0
2024-08-03,0.9334,0.9625,0.9,0.9269,3107806.0
2024-08-04,0.9263,0.9346,0.8463,0.8776,3803470.0
2024-08-05,0.8777,0.8828,0.6851,0.8261,14640988.0
2024-08-06,0.826,0.8799,0.8255,0.8496,2938509.0
2024-08-07,0.8492,0.8987,0.8115,0.8244,3175898.0
2024-08-08,0.8243,0.9058,0.81,0.8936,3475803.0
2024-08-09,0.8938,0.8956,0.86,0.8871,2925487.0
2024-08-10,0.8876,0.9088,0.8762,0.9036,2141293.0
2024-08-11,0.9047,0.9278,0.8518,0.8544,2940229.0
2024-08-12,0.854,0.9057,0.8537,0.8776,2497131.0
2024-08-13,0.8776,0.8776,0.85,0.859,1950470.0
2024-08-14,0.8591,0.8842,0.8391,0.8616,2053576.0
2024-08-15,0.8616,0.8681,0.8202,0.839,2004292.0
2024-08-16,0.839,0.8477,0.8177,0.8385,1467444.0
2024-08-17,0.8381,0.8492,0.8304,0.8486,834172.0
2024-08-18,0.8482,0.8611,0.8369,0.8449,652757.0
2024-08-19,0.8449,0.88,0.8357,0.8784,1136132.0
2024-08-20,0.878,0.8971,0.8697,0.8879,1467420.0
2024-08-21,0.8873,0.9308,0.8832,0.9198,1208645.0
2024-08-22,0.9207,0.926,0.8973,0.9194,1343179.0
2024-08-23,0.9192,0.9768,0.9177,0.9575,2662769.0
2024-08-24,0.9578,0.999,0.948,0.9792,1808937.0
2024-08-25,0.9795,0.9828,0.9394,0.9554,1456702.0
2024-08-26,0.9559,0.9673,0.9104,0.9171,1469919.0
2024-08-27,0.9172,0.9372,0.8555,0.8773,1436905.0
2024-08-28,0.8771,0.9059,0.8487,0.8675,1652929.0
2024-08-29,0.8683,0.8954,0.8573,0.8731,830130.0
2024-08-30,0.8733,0.8769,0.8345,0.8655,937494.0
2024-08-31,0.8643,0.8693,0.8432,0.8482,735381.0
2024-09-01,0.8481,0.8513,0.8015,0.8058,1568099.0
2024-09-02,0.8055,0.8447,0.7984,0.8399,888356.0
2024-09-03,0.8396,0.8534,0.8099,0.8105,775250.0
2024-09-04,0.8106,0.839,0.765,0.8229,1729025.0
2024-09-05,0.8226,0.8371,0.8132,0.8245,1078973.0
2024-09-06,0.8247,0.8324,0.766,0.7901,2592614.0
2024-09-07,0.79,0.811,0.7852,0.8005,1071393.0
2024-09-08,0.8006,0.8247,0.7962,0.8116,1098005.0
2024-09-09,0.8123,0.8497,0.8094,0.8451,1383389.0
2024-09-10,0.8448,0.8625,0.8404,0.8477,1078827.0
2024-09-11,0.8478,0.849,0.8208,0.839,1539192.0
2024-09-12,0.8389,0.9745,0.8389,0.9688,10151952.0
2024-09-13,0.9688,0.9717,0.9181,0.9359,6738956.0
2024-09-14,0.9359,0.9619,0.912,0.9556,3714278.0
2024-09-15,0.9546,0.984,0.9393,0.9449,3014684.0
2024-09-16,0.9441,0.9601,0.7158,0.7795,29994158.0
2024-09-17,0.7793,0.844,0.7308,0.8305,28831682.0
2024-09-18,0.8305,0.8405,0.7747,0.8131,9656792.0
2024-09-19,0.813,0.8289,0.7995,0.8113,7579844.0
2024-09-20,0.8122,0.8384,0.8004,0.8221,4783974.0
2024-09-21,0.8219,0.8319,0.8082,0.831,2972281.0
2024-09-22,0.831,0.8316,0.7945,0.8147,3144693.0
2024-09-23,0.8148,0.8572,0.802,0.8472,3937309.0
2024-09-24,0.847,0.888,0.8158,0.8705,5104459.0
2024-09-25,0.8709,0.8968,0.8634,0.8864,4386602.0
2024-09-26,0.8864,1.0589,0.8572,1.04,19258271.0
2024-09-27,1.0401,1.084,1.0023,1.0478,9656723.0
2024-09-28,1.048,1.0641,1.0029,1.0188,4240064.0
2024-09-29,1.0195,1.0506,0.9892,1.0417,2854617.0
2024-09-30,1.0421,1.0504,0.9837,0.9913,4428777.0
2024-10-01,0.9908,1.0312,0.9485,0.978,6751115.0
2024-10-02,0.9772,1.032,0.9673,0.99,6765839.0
2024-10-03,0.9898,1.0627,0.9741,1.051,7054733.0
2024-10-04,1.0504,1.0796,1.0381,1.0743,5129515.0
2024-10-05,1.0739,1.1246,1.0512,1.0747,4837164.0
2024-10-06,1.0737,1.0932,1.0611,1.0887,3299429.0
2024-10-07,1.0885,1.1134,1.035,1.0389,3298687.0
2024-10-08,1.039,1.0744,1.0304,1.0547,2181602.0
2024-10-09,1.0548,1.0572,1.0132,1.0361,3505433.0
2024-10-10,1.0354,1.054,1.0046,1.0303,3142628.0
2024-10-11,1.0295,1.0846,1.0139,1.0661,2624836.0
2024-10-12,1.0661,1.1348,1.0656,1.1087,2987578.0
2024-10-13,1.1093,1.1495,1.0962,1.1163,2846826.0
2024-10-14,1.1164,1.1868,1.1047,1.1721,7733484.0
2024-10-15,1.1732,1.2345,1.112,1.1452,8867395.0
2024-10-16,1.1458,1.1606,1.1091,1.1295,3577788.0
2024-10-17,1.129,1.1396,1.0855,1.0953,2553201.0
2024-10-18,1.0958,1.1362,1.0927,1.127,1587309.0
2024-10-19,1.127,1.1385,1.0984,1.1012,1093569.0
2024-10-20,1.1014,1.1163,1.0878,1.1094,1378596.0
2024-10-21,1.1095,1.1153,1.05,1.0686,1885688.0
2024-10-22,1.0691,1.083,1.0324,1.0565,1392871.0
2024-10-23,1.0564,1.0597,1.0101,1.0325,1965199.0
2024-10-24,1.0326,1.0482,1.01,1.0267,1998064.0
2024-10-25,1.0273,1.0454,0.9547,0.9751,2817556.0
2024-10-26,0.975,1.0202,0.9671,1.0053,1810220.0
2024-10-27,1.0054,1.0213,1.0009,1.0083,842943.0
2024-10-28,1.0084,1.0363,0.9963,1.0137,2617256.0
2024-10-29,1.0129,1.0602,1.0122,1.0416,2701769.0
2024-10-30,1.0418,1.052,1.0216,1.0279,2264287.0
2024-10-31,1.0276,1.0315,0.9734,0.9881,1530756.0
2024-11-01,0.9861,1.0038,0.966,0.9927,1216672.0
2024-11-02,0.9922,1.0019,0.9715,0.9909,1057002.0
2024-11-03,0.9907,0.9913,0.9359,0.9676,1371313.0
2024-11-04,0.9675,0.9808,0.9021,0.9267,2267370.0
2024-11-05,0.9265,0.9479,0.9189,0.9337,1580875.0
2024-11-06,0.9335,1.0533,0.9335,1.0304,4277675.0
2024-11-07,1.0308,1.0521,1.0025,1.052,3762104.0
2024-11-08,1.0521,1.059,1.0002,1.0188,3267478.0
2024-11-09,1.0194,1.0488,1.0115,1.0438,3023615.0
2024-11-10,1.0443,1.0911,1.015,1.0646,4863649.0
2024-11-11,1.0647,1.0976,1.0298,1.0922,4496505.0
2024-11-12,1.0921,1.1105,1.0,1.0476,7039996.0
2024-11-13,1.047,1.059,0.9725,1.0166,6172005.0
2024-11-14,1.0164,1.0294,0.9374,0.947,5869538.0
2024-11-15,0.948,0.9818,0.918,0.9814,7644365.0
2024-11-16,0.9813,0.9996,0.9584,0.9897,6675940.0
2024-11-17,0.9904,0.9985,0.933,0.9503,3494486.0
2024-11-18,0.9502,0.9777,0.9341,0.9647,5070364.0
2024-11-19,0.9646,0.9727,0.9201,0.9397,4915763.0
2024-11-20,0.9401,0.9612,0.9,0.9122,5664467.0
2024-11-21,0.9125,0.9704,0.89,0.9657,4837957.0
2024-11-22,0.9657,0.9835,0.9424,0.9771,3701641.0
2024-11-23,0.9776,1.0497,0.9518,1.0325,8035058.0
2024-11-24,1.0327,1.0796,0.9914,1.0671,7544868.0
2024-11-25,1.0679,1.1046,1.0351,1.055,7552362.0
2024-11-26,1.0549,1.1,1.0045,1.0661,6033875.0
2024-11-27,1.066,1.12,1.0536,1.108,7283198.0
2024-11-28,1.1078,1.1454,1.0672,1.1299,7382101.0
2024-11-29,1.1296,1.2,1.1159,1.1686,7715057.0
2024-11-30,1.1687,1.2489,1.1453,1.2001,7431025.0
2024-12-01,1.2002,1.214,1.1583,1.1877,5367602.0
2024-12-02,1.1876,1.2892,1.1514,1.2765,9550975.0
2024-12-03,1.2762,1.3659,1.1902,1.3482,10922195.0
2024-12-04,1.3486,1.5799,1.3474,1.4196,16266323.0
2024-12-05,1.4202,1.5367,1.3401,1.4719,9637302.0
2024-12-06,1.472,1.6167,1.45,1.5625,10345681.0
2024-12-07,1.5627,1.6288,1.5064,1.5076,5672767.0
2024-12-08,1.5077,1.5304,1.4703,1.5093,3306550.0
2024-12-09,1.5092,1.5092,1.16,1.3157,10086898.0
2024-12-10,1.3157,1.3537,1.1703,1.2811,9263710.0
2024-12-11,1.2811,1.3577,1.2327,1.3487,3307852.0
2024-12-12,1.3482,1.4073,1.3341,1.3585,4126627.0
2024-12-13,1.3561,1.4289,1.3026,1.3997,4176855.0
2024-12-14,1.3998,1.4124,1.3162,1.3487,2514197.0
2024-12-15,1.3483,1.3949,1.305,1.3927,1870594.0
2024-12-16,1.3927,1.4314,1.3393,1.3563,3226292.0
2024-12-17,1.3554,1.3871,1.3112,1.3342,2426863.0
2024-12-18,1.334,1.3564,1.1782,1.1922,4737418.0
2024-12-19,1.1922,1.2944,1.117,1.1762,8277060.0
2024-12-20,1.1768,1.2335,1.0369,1.2289,6709738.0
2024-12-21,1.2289,1.4194,1.2005,1.2231,9085763.0
2024-12-22,1.2238,1.2411,1.1611,1.1963,3591245.0
2024-12-23,1.196,1.2889,1.1677,1.2645,3049884.0
2024-12-24,1.264,1.2935,1.2314,1.2862,1684657.0
2024-12-25,1.286,1.3334,1.2503,1.276,2105663.0
2024-12-26,1.2754,1.29,1.1752,1.1935,1539898.0
2024-12-27,1.1932,1.2426,1.1784,1.189,1548985.0
2024-12-28,1.189,1.2309,1.1658,1.2163,1492340.0
2024-12-29,1.2167,1.219,1.1449,1.1563,2254801.0
2024-12-30,1.1572,1.198,1.1268,1.1702,1835279.0
2024-12-31,1.1706,1.2213,1.1391,1.2176,2486769.0
2025-01-01,1.2175,1.2362,1.1699,1.2084,1771980.0
2025-01-02,1.2091,1.2491,1.2021,1.2141,1667018.0
2025-01-03,1.2146,1.2775,1.1994,1.2563,1849153.0
2025-01-04,1.2561,1.2726,1.2345,1.2584,1695397.0
2025-01-05,1.2586,1.278,1.238,1.2555,1619220.0
2025-01-06,1.2559,1.2756,1.2308,1.2653,1818846.0
2025-01-07,1.2649,1.2743,1.1703,1.1894,3357020.0
2025-01-08,1.1888,1.2152,1.1446,1.1871,3716825.0
2025-01-09,1.1869,1.2042,1.1074,1.1251,1959021.0
2025-01-10,1.1249,1.1776,1.1244,1.1644,2167797.0
2025-01-11,1.1644,1.175,1.1423,1.1578,675785.0
2025-01-12,1.1579,1.1736,1.14,1.151,664835.0
2025-01-13,1.1505,1.1679,1.1,1.16,4510142.0
2025-01-14,1.1604,1.2147,1.1331,1.2041,1943009.0
2025-01-15,1.2044,1.248,1.1833,1.2244,2901994.0
2025-01-16,1.2242,1.2484,1.1946,1.2236,2682601.0
2025-01-17,1.2242,1.2545,1.224,1.2329,1798847.0
2025-01-18,1.2339,1.2504,1.1604,1.1752,4493664.0
2025-01-19,1.1752,1.1957,1.1,1.1182,8280105.0
2025-01-20,1.1176,1.1948,1.0818,1.1045,5287242.0
2025-01-21,1.1046,1.1244,1.065,1.0833,3029587.0
2025-01-22,1.0829,1.1023,1.0578,1.0623,2022390.0
2025-01-23,1.0628,1.0754,1.0251,1.0475,3342327.0
2025-01-24,1.0472,1.0543,1.0,1.0153,4272273.0
2025-01-25,1.0156,1.0552,1.0103,1.0465,3070384.0
2025-01-26,1.0465,1.0925,1.0408,1.0449,1588800.0
2025-01-27,1.045,1.0526,0.9734,1.0371,4579744.0
2025-01-28,1.0371,1.0498,0.9713,0.979,2897540.0
2025-01-29,0.9793,1.0237,0.9759,0.997,2809059.0
2025-01-30,0.9971,1.0422,0.9909,1.0214,1646803.0
2025-01-31,1.022,1.0523,1.0129,1.0238,1455734.0
2025-02-01,1.0227,1.0424,0.9825,0.9973,1853950.0
2025-02-02,0.9973,1.0253,0.8301,0.8669,5568625.0
2025-02-03,0.8669,0.8814,0.61,0.8691,16113973.0
2025-02-04,0.869,0.8777,0.7801,0.8478,3313459.0
2025-02-05,0.8479,0.908,0.8423,0.857,5323657.0
2025-02-06,0.8573,0.8777,0.8259,0.8357,2479951.0
2025-02-07,0.8351,0.8833,0.8282,0.8596,2148038.0
2025-02-08,0.8602,0.9371,0.8518,0.9233,3219656.0
2025-02-09,0.9231,0.938,0.8689,0.8957,3097736.0
2025-02-10,0.8955,0.9303,0.8693,0.9183,1645119.0
2025-02-11,0.9181,0.9487,0.9015,0.9121,1973030.0
2025-02-12,0.9121,0.9868,0.88,0.9864,4142546.0
2025-02-13,0.9867,1.0048,0.9242,0.9622,3149233.0
2025-02-14,0.9625,1.0176,0.9354,0.9947,4325589.0
2025-02-15,0.9943,1.0347,0.9856,1.0065,4119459.0
2025-02-16,1.0052,1.0388,0.989,1.0093,3278913.0
2025-02-17,1.01,1.0636,1.0017,1.0333,5659024.0
2025-02-18,1.0336,1.0644,0.9619,1.0224,5838020.0
2025-02-19,1.0226,1.0435,1.0,1.0424,2094606.0
2025-02-20,1.0415,1.05,1.0158,1.0442,1557768.0
2025-02-21,1.044,1.0802,1.0164,1.0186,3720191.0
2025-02-22,1.0175,1.0549,1.0151,1.0474,1617342.0
2025-02-23,1.0474,1.052,1.0282,1.0435,918792.0
2025-02-24,1.0432,1.047,0.9569,0.9589,2553770.0
2025-02-25,0.9574,1.0036,0.9318,0.9877,3838407.0
2025-02-26,0.9872,1.059,0.9815,1.0115,3504861.0
2025-02-27,1.0121,1.035,0.9869,1.0175,1443003.0
2025-02-28,1.0173,1.02,0.9163,1.0068,5775719.0
2025-03-01,1.0061,1.04,1.0004,1.0267,2463242.0
2025-03-02,1.0271,1.0786,1.0185,1.0738,4319547.0
2025-03-03,1.0742,1.081,0.9736,0.9809,3010375.0
2025-03-04,0.9808,1.0461,0.9253,1.0,4979022.0
2025-03-05,1.0001,1.0666,0.9939,1.0411,2214746.0
2025-03-06,1.042,1.0557,1.0087,1.0167,1399951.0
2025-03-07,1.0167,1.037,0.9816,0.9937,2003783.0
2025-03-08,0.9938,1.0003,0.9754,0.9851,831526.0
2025-03-09,0.9851,0.9901,0.932,0.94,1246011.0
2025-03-10,0.9411,0.9692,0.857,0.8676,2806055.0
2025-03-11,0.8677,0.8821,0.8205,0.8638,3620761.0
2025-03-12,0.8641,0.8881,0.8285,0.8807,3171841.0
2025-03-13,0.8804,0.887,0.8369,0.8543,1202545.0
2025-03-14,0.8533,0.8843,0.852,0.8649,1075422.0
2025-03-15,0.8649,0.8841,0.854,0.8796,1183522.0
2025-03-16,0.8793,0.8865,0.826,0.8347,1542138.0
2025-03-17,0.8346,0.9342,0.8342,0.9001,6106276.0
2025-03-18,0.9001,0.9022,0.8659,0.8847,2211783.0
2025-03-19,0.8847,0.9099,0.8687,0.9067,2078196.0
2025-03-20,0.9067,0.9123,0.8767,0.8936,2314485.0
2025-03-21,0.8938,0.9009,0.8769,0.8889,1262335.0
2025-03-22,0.889,0.9099,0.8889,0.8999,1109350.0
2025-03-23,0.8989,0.9065,0.89,0.896,671603.0
2025-03-24,0.897,0.9215,0.8889,0.9207,1083154.0
2025-03-25,0.9213,0.9279,0.9057,0.9227,895130.0
2025-03-26,0.923,0.9332,0.904,0.9169,814034.0
2025-03-27,0.9173,0.9557,0.9164,0.9412,1449630.0
2025-03-28,0.9419,0.9421,0.8758,0.8916,1696530.0
2025-03-29,0.8916,0.8956,0.8477,0.8625,1056118.0
2025-03-30,0.8624,0.8836,0.8549,0.8705,827700.0
2025-03-31,0.8697,0.8733,0.8298,0.8413,1781439.0
2025-04-01,0.8399,0.8737,0.8372,0.8565,1278763.0
2025-04-02,0.8563,0.8566,0.8027,0.816,2466675.0
2025-04-03,0.8162,0.8364,0.7958,0.8207,2363136.0
